rank,name,index
1,Qatar,85.85
2,"United Arab Emirates",85.13
3,Taiwan,83.85
4,"Isle Of Man",81.72
5,Oman,80.28
6,"Hong Kong",78.38
7,Armenia,78.25
8,Switzerland,77.88
9,Japan,77.76
10,Slovenia,76.83
11,Croatia,76.01
12,Estonia,75.86
13,Iceland,75.70
14,"Saudi Arabia",75.38
15,Monaco,75.08
16,Bahrain,75.05
17,Georgia,74.75
18,Rwanda,74.46
19,"Czech Republic",74.22
20,"South Korea",73.87
21,Denmark,73.66
22,Austria,73.18
23,Finland,73.16
24,Singapore,72.78
25,Netherlands,72.43
26,China,71.18
27,Brunei,70.45
28,Slovakia,69.46
29,Cyprus,68.94
30,Portugal,68.47
31,Cuba,68.28
32,Azerbaijan,68.27
33,Poland,67.87
34,Israel,67.82
35,Romania,67.50
36,Lithuania,67.45
37,Kuwait,66.99
38,Norway,66.49
39,Uzbekistan,66.32
40,Hungary,66.09
41,Spain,65.03
42,Luxembourg,64.42
43,Germany,62.99
44,Nepal,62.23
45,Serbia,61.82
46,Bulgaria,61.63
47,Latvia,61.51
48,Thailand,61.08
49,Russia,60.68
50,Turkey,60.11
51,Montenegro,59.61
52,"North Macedonia",59.03
53,"Sri Lanka",59.03
54,Jordan,58.99
55,Pakistan,58.44
56,Palestine,58.09
57,Philippines,57.64
58,"Bosnia And Herzegovina",57.29
59,"Kosovo (Disputed Territory)",56.59
60,Panama,56.39
61,Canada,56.37
62,Malta,56.28
63,Tunisia,56.06
64,India,55.43
65,"New Zealand",55.39
66,Australia,55.17
67,Sudan,54.41
68,Vietnam,54.24
69,Ireland,54.13
70,Indonesia,53.94
71,Iraq,53.83
72,Italy,53.76
73,Ghana,53.75
74,Ukraine,53.43
75,Lebanon,53.41
76,Egypt,53.39
77,"United Kingdom",53.38
78,Zambia,53.36
79,Belgium,53.29
80,Barbados,53.06
81,Albania,52.99
82,Morocco,52.63
83,Moldova,52.57
84,Myanmar,52.17
85,Greece,52.03
86,Nicaragua,51.90
87,"United States",51.59
88,Sweden,51.23
89,Mauritius,51.22
90,Paraguay,50.99
91,Ethiopia,50.58
92,Iran,50.25
93,Cambodia,48.28
94,Belize,48.03
95,Uruguay,47.87
96,Kazakhstan,46.96
97,Algeria,46.75
98,Botswana,46.30
99,"Costa Rica",46.14
100,Mexico,46.10
101,Malaysia,45.63
102,France,45.61
103,Mongolia,45.54
104,Maldives,44.87
105,Uganda,44.41
106,Tanzania,44.21
107,Kyrgyzstan,44.12
108,Kenya,43.67
109,Chile,43.49
110,Fiji,42.91
111,Belarus,42.82
112,Ecuador,42.13
113,Guatemala,42.01
114,"North Korea",41.93
115,Bolivia,41.56
116,Colombia,41.29
117,Zimbabwe,40.39
118,Libya,39.41
119,"Us Virgin Islands",38.76
120,"Dominican Republic",38.51
121,"Puerto Rico",38.23
122,Bahamas,37.09
123,Mozambique,37.06
124,Bangladesh,36.94
125,Nigeria,35.91
126,Argentina,35.91
127,Namibia,35.03
128,Cameroon,34.74
129,Somalia,33.59
130,Angola,33.34
131,Brazil,33.21
132,Peru,32.76
133,Syria,32.53
134,"El Salvador",32.41
135,Jamaica,31.71
136,Guyana,31.07
137,"Trinidad And Tobago",29.43
138,Honduras,25.34
139,"South Africa",24.63
140,Afghanistan,21.81
141,"Papua New Guinea",19.74
142,Venezuela,16.84